githubFile,Reviewers,DateReviewed,Status,HITLnotes
ATAPL-58320-00001__20121219.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00001__20181111.csv,"KB,WR",5/30/19,Clear,
ATAPL-58320-00001__20201118.csv,"MV,WR",5/26/21,Clear,
ATAPL-58320-00002__20140508.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00002__20160302.csv,"WR,RS",4/17/20,Clear,
ATAPL-58320-00002__20171023.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00002__20191009.csv,"WR,KG",4/9/20,Clear,
ATAPL-58320-00002__20211026.csv,"MV,WR",7/15/22,Clear,
ATAPL-58320-00003__20160302.csv,"WR,RS",4/17/20,Clear,coefficients re-calculated by MIOs after erroneous vendor cals
ATAPL-58320-00003__20171023.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00003__20191009.csv,"WR,KG",4/9/20,Clear,
ATAPL-58320-00003__20211026.csv,"MV,WR",7/15/22,Clear,
ATAPL-58320-00004__20160302.csv,"WR,RS",4/17/20,Clear,coefficients re-calculated by MIOs after erroneous vendor cals
ATAPL-58320-00004__20171023.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00004__20191009.csv,"WR,KG",4/9/20,Clear,
ATAPL-58320-00004__20211026.csv,"MV,WR",7/15/22,Clear,
ATAPL-58320-00005__20160302.csv,"WR,RS",4/17/20,Clear,coefficients re-calculated by MIOs after erroneous vendor cals
ATAPL-58320-00005__20171023.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00005__20191009.csv,"WR,KG",4/9/20,Clear,
ATAPL-58320-00005__20211026.csv,"MV,WR",7/15/22,Clear,
ATAPL-58320-00006__20160302.csv,"WR,RS",4/17/20,Clear,coefficients re-calculated by MIOs after erroneous vendor cals
ATAPL-58320-00006__20170302.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00006__20180910.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00006__20191009.csv,"WR,KG",4/9/20,Clear,
ATAPL-58320-00006__20210117.csv,"MV,WR",5/26/21,Clear,
ATAPL-58320-00009__20150318.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00009__20170302.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00009__20171023.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00009__20191009.csv,"WR,KG",4/9/20,Clear,
ATAPL-58320-00009__20211026.csv,"MV,WR",7/15/22,Clear,
ATAPL-58320-00010__20150318.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00010__20170301.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00010__20191009.csv,"WR,KG",4/9/20,Clear,
ATAPL-58320-00010__20211026.csv,"MV,WR",7/15/22,Clear,
ATAPL-58320-00011__20150318.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00011__20161027.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00011__20170302.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00011__20180910.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00011__20201120.csv,"MV,WR",5/26/21,Clear,
ATAPL-58320-00012__20150318.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00012__20161027.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00012__20170302.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00012__20180910.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00012__20201120.csv,"MV,WR",5/26/21,Clear,
ATAPL-58320-00013__20150318.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00013__20161027.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00013__20170302.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00013__20180910.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00013__20201120.csv,"MV,WR",5/26/21,Clear,
ATAPL-58320-00014__20150318.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00014__20161027.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00014__20170302.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00014__20180910.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00014__20201120.csv,"MV,WR",5/26/21,Clear,
ATAPL-58320-00014__20211026.csv,"MV,WR",7/15/22,Clear,
ATAPL-58320-00015__20150318.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00015__20170301.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00015__20180910.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00015__20201120.csv,"MV,WR",5/26/21,Clear,
ATAPL-58320-00015__20211026.csv,"MV,WR",7/15/22,Clear,
ATAPL-58320-00016__20150318.csv,"WR,RS",4/17/20,Clear,
ATAPL-58320-00016__20161027.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00016__20170302.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00016__20180910.csv,"KB,WR",5/2/19,Clear,
ATAPL-58320-00016__20201120.csv,"MV,WR",5/26/21,Clear,
ATAPL-58336-00001__20120702.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00001__20170111.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00001__20191230.csv,"WR,EH",4/9/20,Clear,
ATAPL-58336-00002__20131121.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00002__20160513.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00002__20171016.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00002__20201006.csv,"MV,WR",5/26/21,Clear,
ATAPL-58336-00003__20131121.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00003__20170111.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00003__20170614.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00003__20201006.csv,"MV,WR",5/26/21,Clear,
ATAPL-58336-00004__20140506.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00004__20170117.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00004__20180820.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00004__20211123.csv,"MV,WR",7/15/22,Clear,
ATAPL-58336-00009__20150619.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00009__20170117.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00009__20180830.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00009__20201006.csv,"MV,WR",5/26/21,Clear,
ATAPL-58336-00010__20150727.csv,"KB,WR",5/13/19,Clear,
ATAPL-58336-00010__20160415.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00010__20171016.csv,"KB,WR",4/30/19,Clear,
ATAPL-58336-00010__20191230.csv,"WR,EH",4/9/20,Clear,
ATAPL-58336-00010__20211122.csv,"MV,WR",7/15/22,Clear,
ATAPL-58337-00001__20120702.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00001__20131015.csv,"KB,WR",5/13/19,Clear,
ATAPL-58337-00001__20170203.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00001__20180827.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00001__20200909.csv,"MV,WR",5/26/21,Clear,
ATAPL-58337-00002__20131107.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00002__20160405.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00002__20191011.csv,"WR,EH",4/9/20,Clear,
ATAPL-58337-00002__20211027.csv,"MV,WR",7/15/22,Clear,
ATAPL-58337-00003__20131112.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00003__20160506.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00003__20170203.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00003__20180904.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00003__20200909.csv,"MV,WR",5/26/21,Clear,
ATAPL-58337-00004__20131113.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00004__20160330.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00004__20171027.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00004__20191011.csv,"WR,EH",4/9/20,Clear,
ATAPL-58337-00004__20201123.csv,"MV,WR",5/26/21,Clear,
ATAPL-58337-00004__20211112.csv,"MV,WR",7/15/22,Clear,
ATAPL-58337-00005__20131119.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00005__20160506.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00005__20171027.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00005__20191125.csv,"WR,EH",4/9/20,Clear,
ATAPL-58337-00005__20211112.csv,"MV,WR",7/15/22,Clear,
ATAPL-58337-00006__20140507.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00006__20150507.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00006__20170216.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00006__20180827.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00006__20200909.csv,"MV,WR",5/26/21,Clear,
ATAPL-58337-00009__20150514.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00009__20170214.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00009__20180827.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00009__20200920.csv,"MV,WR",5/26/21,Clear,
ATAPL-58337-00010__20150514.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00010__20170203.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00010__20180827.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00010__20200920.csv,"MV,WR",5/26/21,Clear,
ATAPL-58337-00013__20150730.csv,"KB,WR",5/13/19,Clear,
ATAPL-58337-00013__20160406.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00013__20171003.csv,"KB,WR",4/30/19,Clear,
ATAPL-58337-00013__20191111.csv,"WR,EH",4/9/20,Clear,
