referenceDesignatorYearDeployNum,Reviewers,DateReviewed,Status,HITLnotes
CE02SHBP-LJ01D-06-CTDBPN106.2014.1,"WR,DM",5/1/19,Clear,verified with post-recovery logs and refurb documentation
CE02SHBP-LJ01D-11-HYDBBA106.2019.6,"WR,DM",1/23/20,Clear,verified with IP address ping
CE04OSBP-LJ01C-11-HYDBBA105.2019.6,"WR,DM",1/23/20,Clear,verified with IP address ping
CE04OSPD-DP01B-01-CTDPFL105.2014.1,"WR,DM,TM",4/29/20,Clear,verified with deployment logs and images
CE04OSPD-DP01B-01-CTDPFL105.2015.2,"WR,DM,TM",4/29/20,Clear,"verified with deployment logs, instrument deployment and refurb records, DP team notes"
CE04OSPD-DP01B-01-CTDPFL105.2016.3,"WR,DM,TM",4/29/20,Clear,"verified with deployment logs, instrument deployment and refurb records, DP team notes"
CE04OSPD-DP01B-01-CTDPFL105.2017.4,"WR,DM,TM",4/29/20,Clear,"verified with deployment logs, instrument deployment and refurb records, DP team notes"
CE04OSPD-DP01B-01-CTDPFL105.2017.5,"WR,DM,TM",4/29/20,Clear,"verified with deployment logs, instrument deployment and refurb records, DP team notes"
CE04OSPD-DP01B-01-CTDPFL105.2018.6,"WR,DM,TM",4/29/20,Clear,verified with deployment logs and images
CE04OSPD-DP01B-01-CTDPFL105.2019.7,"WR,DM,TM",4/29/20,Clear,"verified with deployment logs, instrument deployment and refurb records, DP team notes"
CE04OSPD-DP01B-01-CTDPFL105.2019.8,"WR,DM,TM",4/29/20,Clear,verified with deployment logs and images
CE04OSPD-DP01B-02-VEL3DA105.2014.1,"WR,DM,TM",4/29/20,Clear,verified with deployment logs and images
CE04OSPD-DP01B-02-VEL3DA105.2015.2,"WR,DM,TM",4/29/20,Clear,"verified with deployment logs, instrument refurb records, DP team notes"
CE04OSPD-DP01B-02-VEL3DA105.2016.3,"WR,DM,TM",4/29/20,Clear,"verified with deployment logs, instrument deployment and refurb records, DP team notes"
CE04OSPD-DP01B-02-VEL3DA105.2017.4,"WR,DM,TM",4/29/20,Clear,"verified with deployment logs, instrument deployment and refurb records, DP team notes"
