referenceDesignator,deployYear,deployNum,positionStartTime,positionName,notes
RS03ECAL-MJ03E-06-BOTPTA302,2014,1,2013/07/27 8:41:01,BOTPTA302,
RS03ASHS-MJ03B-00-OSMOIA301,2014,1,2014/07/28 11:04:19,OSMOIA301_intake,
RS03ASHS-MJ03B-00-OSMOIA301,2014,2,2014/09/28 3:48:28,OSMOIA301_intake,
RS01SLBS-LJ01A-09-HYDBBA102,2014,1,2014/08/04 4:11:55,LJ01A,HYDBBA102 was mounted on LJ01A for 2014 and 2015
RS01SLBS-LJ01A-09-HYDBBA102,2015,2,2015/07/06 23:22:40,LJ01A,HYDBBA102 was mounted on LJ01A for 2014 and 2015
RS03AXBS-LJ03A-09-HYDBBA302,2014,1,2014/08/05 6:18:36,LJ03A,HYDBBA302 was mounted on LJ03A for 2014 and 2015
RS03AXBS-LJ03A-09-HYDBBA302,2015,2,2015/07/13 5:24:27,LJ03A,HYDBBA302 was mounted on LJ03A for 2014 and 2015
RS03INT1-MJ03C-09-THSPHA301,2015,2,2014/09/27 3:44:00,THSPHA301_probe,no position for one day deployment in 2015; using 2014 probe position
RS03AXPD-DP03A,2014,1,2014/08/10 0:45:00,PD03A,
RS03AXPD-PD03A,2014,1,2014/08/10 0:45:00,PD03A,
RS03AXPD-DP03A-00-ENG000000,2014,1,2014/08/10 0:45:00,PD03A,
RS03AXPD-DP03A-01-CTDPFL304,2014,1,2014/08/10 0:45:00,PD03A,
RS03AXPD-DP03A-06-DOSTAD304,2014,1,2014/08/10 0:45:00,PD03A,
RS03AXPD-DP03A-02-VEL3DA303,2014,1,2014/08/10 0:45:00,PD03A,
RS03AXPD-DP03A-03-FLCDRA302,2014,1,2014/08/10 0:45:00,PD03A,
RS03AXPD-DP03A-03-FLNTUA302,2014,1,2014/08/10 0:45:00,PD03A,
RS03AXPD-DP03A,2015,2,2015/07/28 17:37:58,PD03A,
RS03AXPD-PD03A,2015,2,2015/07/28 17:37:58,PD03A,
RS03AXPD-DP03A-00-ENG000000,2015,2,2015/07/28 17:37:58,PD03A,
RS03AXPD-DP03A-01-CTDPFL304,2015,2,2015/07/28 17:37:58,PD03A,
RS03AXPD-DP03A-06-DOSTAD304,2015,2,2015/07/28 17:37:58,PD03A,
RS03AXPD-DP03A-02-VEL3DA303,2015,2,2015/07/28 17:37:58,PD03A,
RS03AXPD-DP03A-03-FLCDRA302,2015,2,2015/07/28 17:37:58,PD03A,
RS03AXPD-DP03A-03-FLNTUA302,2015,2,2015/07/28 17:37:58,PD03A,
RS01SUM2-MJ01B-05-CAMDSB103,2018,4,2018/06/29 1:31:55,CAMDSB103,
RS01SUM2-MJ01B-11-CTDPFA110,2018,1,2018/06/29 0:04:14,CTDPFA110
RS03CCAL-MJ03F-12-CTDPFB305,2022,2,2022/08/14 3:10:09,CTDPFB305
RS03CCAL-MJ03F-12-CTDPFB305,2022,3,2022/08/30 18:41:27,CTDPFB305
RS03ASHS-MJ03B-07-TMPSFA301,2014,1,2014/09/28 2:21:00,TMPSFA301
