assetID,instrumentType,mfgSN,SNnotes
ATOSU-69825-00001,ADCPS-I,21498,
ATOSU-69825-00002,ADCPS-I,18153,
ATOSU-69825-00003,ADCPS-I,18919,
ATAPL-58419-00001,ADCPS-K,18444,
ATAPL-58419-00002,ADCPS-K,18975,
ATAPL-58419-00003,ADCPS-K,18977,
ATOSU-69826-00001,ADCPT-B,18493,
ATOSU-69826-00002,ADCPT-B,19003,
ATOSU-69826-00003,ADCPT-B,22115,
ATAPL-58315-00001,ADCPT-D,18478,
ATAPL-58315-00002,ADCPT-D,18974,
ATAPL-58315-00003,ADCPT-D,18980,
ATAPL-58315-00004,ADCPT-D,23338,
ATAPL-58315-00005,ADCPT-D,23339,
ATAPL-68073-00001,ADCPT-E,18471,
ATAPL-68073-00002,ADCPT-E,18813,
ATAPL-68073-00003,ADCPT-E,19224,
ATAPL-68073-00004,ADCPT-E,23442,
ATAPL-68073-00005,ADCPT-E,23443,
PIRSN-PADCPA-00001,ADCPF-P,1023,
ATAPL-58316-00001,BOTPT-A,"3, 9651, 8643, 120785","APL, Lily, Iris, Paros"
ATAPL-58316-00002,BOTPT-A,"4, 9655, 3616, 120788","APL, Lily, Iris, Paros"
ATAPL-58316-00003,BOTPT-A,"5, 9676, 9914, 120798","APL, Lily, Iris, Paros"
ATAPL-58316-00004,BOTPT-A,"7, 9652, 3617, 121184","APL, Lily, Iris, Paros"
ATAPL-58316-00005,BOTPT-A,"8, 9656, 8642, 121654","APL, Lily, Iris, Paros"
ATAPL-78437-00001,CAMDS,"SUBC18830, SUBC18825, SUBC18826, SUBC18901, SUBC18907","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00002,CAMDS,"SUBC18831, SUBC18827, SUBC18828, SUBC18902, SUBC18905","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00003,CAMDS,"SUBC18832, SUBC18829, SUBC18836, SUBC18903, SUBC18904","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00004,CAMDS,"SUBC18833, SUBC18837, SUBC18838, SUBC18906, SUBC18908","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00005,CAMDS,"SUBC19005, SUBC19974, SUBC19976, SUBC18918, SUBC18915","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00006,CAMDS,"SUBC19006, SUBC19977, SUBC19983, SUBC18916, SUBC18919","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00007,CAMDS,"SUBC19007, SUBC19034, SUBC19035, SUBC18926, SUBC18930","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00008,CAMDS,"SUBC19008, SUBC19032, SUBC19033, SUBC18913, SUBC18928","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00009,CAMDS,"SUBC20116, SUBC19048, SUBC20140, SUBC19014, SUBC19022","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00010,CAMDS,"SUBC20117, SUBC20160, SUBC20159, SUBC19011, SUBC19023","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00011,CAMDS,"SUBC20118, SUBC20158, SUBC19980, SUBC20100, SUBC20103","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00012,CAMDS,"SUBC20119, SUBC20149, SUBC20146, SUBC20101, SUBC20112","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-78437-00013,CAMDS,"SUBC20120, SUBC20161, SUBC20145, SUBC20105, SUBC20115","Camera, LED1, LED2, LASER1, LASER2"
ATAPL-58317-00001,"CAMDS-B,CAMDS-C",101,
ATAPL-58317-00002,"CAMDS-B,CAMDS-C",102,
ATAPL-58317-00003,"CAMDS-B,CAMDS-C",103,
ATAPL-58317-00004,"CAMDS-B,CAMDS-C",104,
ATAPL-58317-00005,"CAMDS-B,CAMDS-C",107,
ATAPL-58317-00006,"CAMDS-B,CAMDS-C",108,
ATAPL-58317-00009,"CAMDS-B,CAMDS-C",114,
ATAPL-58317-00010,"CAMDS-B,CAMDS-C",115,
ATAPL-58317-00011,"CAMDS-B,CAMDS-C",116,
ATOSU-58317-00007,"CAMDS-B,CAMDS-C",100,
ATOSU-58317-00008,"CAMDS-B,CAMDS-C",105,
ATOSU-58317-00012,"CAMDS-B,CAMDS-C",117,
ATOSU-58317-00013,"CAMDS-B,CAMDS-C",118,
ATAPL-70248-00001,CAMHD-A,"13115, 12108, 12110, 70502","Prod1Cam, LEDs, LEDs, PT"
ATAPL-70248-00002,CAMHD-A,"13114, 12099, 12100, 70501","Prod2Cam, LEDs, LEDs, PT"
PIRSN-COVISA-00001,COVIS,1,
ATOSU-69827-00001,CTDBP-N,16P71176-7230,
ATOSU-69827-00002,CTDBP-N,16-50114,
ATOSU-69827-00003,CTDBP-N,16P71879-7248,
ATAPL-69827-10004,CTDBP-N,16-50634,
ATAPL-69827-10005,CTDBP-N,16-50635,
ATOSU-69828-00001,CTDBP-O,16P71176-7231,
ATOSU-69828-00002,CTDBP-O,16P71879-7249,
ATOSU-69828-00003,CTDBP-O,16-50117,
ATAPL-66662-00001,CTDPF-A,16P65795-6914,
ATAPL-66662-00002,CTDPF-A,16P71179-7205,
ATAPL-66662-00003,CTDPF-A,16P71179-7232,
ATAPL-66662-00004,CTDPF-A,16P71179-7233,
ATAPL-66662-00005,CTDPF-A,16P71179-50030,
ATAPL-66662-00008,CTDPF-A,16-50115,
ATAPL-66662-00009,CTDPF-A,16-50118,
ATAPL-66662-00010,CTDPF-A,16-50122,
ATAPL-66662-00011,CTDPF-A,16-50123,
ATAPL-66662-00012,CTDPF-A,16-50127,
ATOSU-66662-00006,CTDPF-A,16-50018,
ATOSU-66662-00007,CTDPF-A,16-50019,
ATOSU-66662-00013,CTDPF-A,16-50112,
ATOSU-66662-00014,CTDPF-A,16-50113,
ATAPL-67627-00001,CTDPF-B,16P66805-6943,
ATAPL-67627-00002,CTDPF-B,16P71179-7234,
ATAPL-67627-00003,CTDPF-B,16P71179-50031,
ATAPL-67627-00004,CTDPF-B,16-50119,
