sensor,coeff,constant,units
CTD,CC_offset,0.0,
DOFSTA,CC_offset,0.0,
FLNTU,CC_angular_resolution,1.096,
FLNTU,CC_depolarization_ratio,0.039,
FLNTU,CC_scattering_angle,140,
FLORD,CC_angular_resolution,1.076,
FLORD,CC_depolarization_ratio,0.039,
FLORD,CC_scattering_angle,124,
NUTNR,CC_lower_wavelength_limit_for_spectra_fit,217,
NUTNR,CC_upper_wavelength_limit_for_spectra_fit,240,
PHSEN,CC_ind_off,0.0,
PHSEN,CC_ind_slp,1.0,
PCO2W,CC_ea434,19706,
PCO2W,CC_eb434,3073,
PCO2W,CC_ea620,34,
PCO2W,CC_eb620,44327,
PCO2W,CC_sami_bits,12,
PHSEN,CC_sami_bits,12,
ADCP,CC_scale_factor1,0.45,
ADCP,CC_scale_factor2,0.45,
ADCP,CC_scale_factor3,0.45,
ADCP,CC_scale_factor4,0.45,
VADCP,CC_scale_factor1,0.45,
VADCP,CC_scale_factor2,0.45,
VADCP,CC_scale_factor3,0.45,
VADCP,CC_scale_factor4,0.45,
HYDBB,CC_gain,0,
ZPLSC,CC_frequency,120,kHz
ZPLSC,CC_sound_speed,1493.9,m s-1
ZPLSC,CC_seawater_density,1026.6,kg m-3
ZPLSC,CC_absorption,0.0374,dB m-1
ZPLSC,CC_theoretical_target_strength,-39.45,dB
