github,sensor,xmlcon
CC_a0,Temperature,A0
CC_a1,Temperature,A1
CC_a2,Temperature,A2
CC_a3,Temperature,A3
CC_cpcor,Conductivity,CPcor
CC_ctcor,Conductivity,CTcor
CC_g,Conductivity,G
CC_h,Conductivity,H
CC_i,Conductivity,I
CC_j,Conductivity,J
CC_pa0,Pressure,PA0
CC_pa1,Pressure,PA1
CC_pa2,Pressure,PA2
CC_ptempa0,Pressure,PTEMPA0
CC_ptempa1,Pressure,PTEMPA1
CC_ptempa2,Pressure,PTEMPA2
CC_ptca0,Pressure,PTCA0
CC_ptca1,Pressure,PTCA1
CC_ptca2,Pressure,PTCA2
CC_ptcb0,Pressure,PTCB0
CC_ptcb1,Pressure,PTCB1
CC_ptcb2,Pressure,PTCB2
CC_C1,Pressure,C1
CC_C2,Pressure,C2
CC_C3,Pressure,C3
CC_D1,Pressure,D1
CC_D2,Pressure,D2
CC_T1,Pressure,T1
CC_T2,Pressure,T2
CC_T3,Pressure,T3
CC_T4,Pressure,T4
CC_T5,Pressure,T5
CC_residual_temperature_correction_factor_a,Oxygen,A
CC_residual_temperature_correction_factor_b,Oxygen,B
CC_residual_temperature_correction_factor_c,Oxygen,C
CC_residual_temperature_correction_factor_e,Oxygen,E
CC_oxygen_signal_slope,Oxygen,Soc
CC_frequency_offset,Oxygen,offset
CC_voltage_offset,Oxygen,offset
