referenceDesignator,deployNum,deployYear,imageFile,imageSerialNumber,imageAssetID,notes
CE02SHBP-LJ01D-05-ADCPTB104,7,2020,IMG_4469.HEIC,19003,ATOSU-69826-00002,
CE02SHBP-LJ01D-05-ADCPTB104,9,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/ADCPTB104_2022/ADCPTB104_20230822_105037_recovered.JPG,19003,ATOSU-69826-00002,
CE02SHBP-LJ01D-05-ADCPTB104,10,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/ADCPTB104_2023/ADCPTB104_20230814_004945_predeploy.JPG,18493,ATOSU-69826-00001,
CE02SHBP-LJ01D-06-CTDBPN106,7,2020,IMG_4466.HEIC,7230,ATOSU-69827-00001,
CE02SHBP-LJ01D-06-CTDBPN106,9,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/CTDBPN106_2022/CTDBPN106_20230822_104849_recovered.JPG,-7248,ATOSU-69827-00003,
CE02SHBP-LJ01D-06-CTDBPN106,10,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/CTDBPN106_2023/CTDBPN106_20230814_004546_predeploy.JPG,16-50114,ATOSU-69827-00002,
CE02SHBP-LJ01D-06-DOSTAD106,7,2020,IMG_4467.HEIC,216,ATOSU-58320-00020,
CE02SHBP-LJ01D-06-DOSTAD106,9,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/DOSTAD106_2022/DOSTAD106_20230822_105002_recovered.JPG,216,ATOSU-58320-00020,
CE02SHBP-LJ01D-06-DOSTAD106,10,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/DOSTAD106_2023/DOSTAD106_20230814_004615_predeploy.JPG,311,ATOSU-58320-00019,
CE02SHBP-LJ01D-06-DOSTAD106,12,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1D/LJ01D/LJ01D_2025/DOSTAD106_2025/,311,ATOSU-58320-00019,
CE02SHBP-LJ01D-06-DOSTAD106,13,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/DOSTAD106_2026/DOSTAD106_20260808_204358_predeploy.JPG,216,ATOSU-58320-00020,
CE02SHBP-LJ01D-07-VEL3DC108,7,2020,IMG_4468.HEIC,"50,078,167",ATOSU-69829-00003,
CE02SHBP-LJ01D-07-VEL3DC108,9,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/VEL3DC108_2022/VEL3DC108_20230822_105728_recovered.JPG,5007/8167,ATOSU-69829-00003,
CE02SHBP-LJ01D-07-VEL3DC108,10,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/VEL3DC108_2023/VEL3DC108_20230814_004902_predeploy.JPG,13934,ATOSU-69829-00001,
CE02SHBP-LJ01D-07-VEL3DC108,13,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/VEL3DC108_2026/VEL3DC108_20260808_204308_predeploy.JPG,8167,ATAPL-69829-00003,
CE02SHBP-LJ01D-08-OPTAAD106,7,2020,IMG_4465.HEIC,169,ATOSU-58332-00009,
CE02SHBP-LJ01D-08-OPTAAD106,9,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/OPTAAD106_2022/OPTAAD106_20230822_104735_recovered.JPG,169,ATOSU-58332-00009,
CE02SHBP-LJ01D-08-OPTAAD106,10,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/OPTAAD106_2023/OPTAAD106_20230814_004343_predeploy.JPG,221,ATOSU-58332-00008,
CE02SHBP-LJ01D-09-PCO2WB103,7,2020,IMG_4464.HEIC,C0080,ATOSU-70570-00002,
CE02SHBP-LJ01D-09-PCO2WB103,9,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/PCO2WB103_2022/PCO2WB103_20230822_105848_recovered.JPG,C0080,ATOSU-70570-00002,
CE02SHBP-LJ01D-09-PCO2WB103,10,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/PCO2WB103_2023/PCO2WB103_20230814_005042_predeploy.JPG,C0116,ATOSU-58336-00007,
CE02SHBP-LJ01D-09-PCO2WB103,12,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1D/LJ01D/LJ01D_2025/PCO2WB103_2025/,C0118,ATOSU-70570-00004,
CE02SHBP-LJ01D-09-PCO2WB103,13,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/PCO2WB103_2026/PCO2WB103_20260808_204501_predeploy.JPG,C0080,ATOSU-70570-00002,
CE02SHBP-LJ01D-10-PHSEND103,7,2020,IMG_4464.HEIC,P0116,ATOSU-70571-00001,
CE02SHBP-LJ01D-10-PHSEND103,9,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/PHSEND103_2022/PHSEND103_20230822_105918_recovered.JPG,P0116,ATOSU-70571-00001,
CE02SHBP-LJ01D-10-PHSEND103,10,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/PHSEND103_2023/PHSEND103_20230814_005008_predeploy.JPG,P0131,ATOSU-58337-00008,
CE02SHBP-LJ01D-10-PHSENH110,1,2025,smb://cruisevideo.ooirsn.uw.edu/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2025/PHSEND103_2025/PHSEND103_20260809_164925_recovered.JPG,721-2085,ATAPL-91990-00003,from 2026 recovery photos
CE02SHBP-LJ01D-10-PHSENH110,2,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/PHSENH110_2026/PHSENH110_20260808_204144_predeploy.JPG,721-2107,ATAPL-91990-00004,
CE02SHBP-LJ01D-11-HYDBBA106,9,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/HYDBBA106_2022/HYDBBA106_20230822_104438_recovered.JPG,1248,,
CE02SHBP-LJ01D-11-HYDBBA106,10,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/HYDBBA106_2023/HYDBBA106_20230814_004156_predeploy.JPG,141,,
