ReferenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID
RS01SUM2-MJ01B-12-ADCPSK101,2018,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01B/MJ01B_2018/MJ01B_20230827_132840_recovered.JPG,18977,
RS01SLBS-LJ01A-10-ADCPTE101,2020,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LJ01A/ADCPTE101_2020/ADCPTE101_20230818_101613_recovered.JPG,18813,
RS01SLBS-LJ01A-11-OPTAAC103,2020,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LJ01A/OPTAAC103_2020/OPTAAC103_20230818_100924_recovered.JPG,248,ATAPL-69943-00008
RS01SLBS-LJ01A-12-CTDPFB101,2020,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LJ01A/CTDPFB101_2020/CTDPFB101_20230818_101203_recovered.JPG,4830-67627,ATAPL-67627-00002
RS01SLBS-LJ01A-12-DOSTAD101,2020,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LJ01A/DOSTAD101_2020/DOSTAD101_20230818_101328_recovered.JPG,,ATAPL-58320-00014
RS03ASHS-PN03B-06-CAMHDA301,2021,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PN3B/CAMHDA301_2021/CAMHDA301_20230826_084159_recovered.JPG,,ATAPL-70150-00006
RS03INT1-MJ03C-05-CAMDSB303,2021,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ03C/CAMDSB303_2021/CAMDSB303_20230905_134705_recovered.JPG,,ATAPL-70101-00003
CE02SHBP-LJ01D-05-ADCPTB104,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/ADCPTB104_2022/ADCPTB104_20230822_105037_recovered.JPG,19003,ATOSU-69826-00002
CE02SHBP-LJ01D-06-CTDBPN106,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/CTDBPN106_2022/CTDBPN106_20230822_104849_recovered.JPG,-7248,ATOSU-69827-00003
CE02SHBP-LJ01D-06-DOSTAD106,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/DOSTAD106_2022/DOSTAD106_20230822_105002_recovered.JPG,216,ATOSU-58320-00020
CE02SHBP-LJ01D-07-VEL3DC108,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/VEL3DC108_2022/VEL3DC108_20230822_105728_recovered.JPG,5007/8167,ATOSU-69829-00003
CE02SHBP-LJ01D-08-OPTAAD106,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/OPTAAD106_2022/OPTAAD106_20230822_104735_recovered.JPG,169,ATOSU-58332-00009
CE02SHBP-LJ01D-09-PCO2WB103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/PCO2WB103_2022/PCO2WB103_20230822_105848_recovered.JPG,C0080,ATOSU-70570-00002
CE02SHBP-LJ01D-10-PHSEND103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/PHSEND103_2022/PHSEND103_20230822_105918_recovered.JPG,P0116,ATOSU-70571-00001
CE02SHBP-LJ01D-11-HYDBBA106,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2022/HYDBBA106_2022/HYDBBA106_20230822_104438_recovered.JPG,1248,
CE02SHBP-MJ01C-07-ZPLSCB101,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/ZPLSCB101_2022/ZPLSCB101_20230822_113011_recovered.JPG,1233,
CE04OSBP-LJ01C-05-ADCPSI103,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2022/ADCPSI103_2022/ADCPSI103_20230828_182817_recovered.JPG,21498,ATOSU-69825-00001
