referenceDesignator,positionName
CE02SHBP-LJ01D,LJ01D
CE02SHBP-LJ01D-05-ADCPTB104,LJ01D
CE02SHBP-LJ01D-06-CTDBPN106,LJ01D
CE02SHBP-LJ01D-06-DOSTAD106,LJ01D
CE02SHBP-LJ01D-07-VEL3DC108,LJ01D
CE02SHBP-LJ01D-08-OPTAAD106,LJ01D
CE02SHBP-LJ01D-09-PCO2WB103,LJ01D
CE02SHBP-LJ01D-10-PHSEND103,LJ01D
CE02SHBP-LJ01D-10-PHSENH110,LJ01D
CE02SHBP-LJ01D-11-HYDBBA106,HYDBBA106
CE02SHBP-MJ01C,MJ01C
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSCB101
CE02SHBP-MJ01C-08-CAMDSB107,CAMDSB107
CE02SHBP-PN01D,PN1D
CE04OSBP-LJ01C,LJ01C
CE04OSBP-LJ01C-05-ADCPSI103,LJ01C
CE04OSBP-LJ01C-06-CTDBPO108,LJ01C
CE04OSBP-LJ01C-06-DOSTAD108,LJ01C
CE04OSBP-LJ01C-07-VEL3DC107,LJ01C
CE04OSBP-LJ01C-08-OPTAAC104,LJ01C
CE04OSBP-LJ01C-09-PCO2WB104,LJ01C
CE04OSBP-LJ01C-10-PHSEND107,LJ01C
CE04OSBP-LJ01C-11-HYDBBA105,HYDBBA105
CE04OSBP-LJ01C-11-HYDBBA110,HYDBBA105
CE04OSBP-LV01C,LV01C
CE04OSBP-LV01C-06-CAMDSB106,CAMDSB106
CE04OSBP-PN01C,PN1C
CE04OSPD-DP01B,PD01B
CE04OSPD-DP01B-00-ENG000000,PD01B
CE04OSPD-DP01B-01-CTDPFL105,PD01B
CE04OSPD-DP01B-01-ENG000000,PD01B
CE04OSPD-DP01B-02-VEL3DA105,PD01B
CE04OSPD-DP01B-03-FLCDRA103,PD01B
CE04OSPD-DP01B-04-FLNTUA103,PD01B
CE04OSPD-DP01B-06-DOSTAD105,PD01B
CE04OSPD-PD01B,PD01B
CE04OSPS-PC01B,VM01B
CE04OSPS-PC01B-05-ZPLSCB102,VM01B
CE04OSPS-PC01B-4A-CTDPFA109,VM01B
CE04OSPS-PC01B-4A-DOSTAD109,VM01B
CE04OSPS-PC01B-4B-PHSENA106,VM01B
CE04OSPS-PC01B-4C-PHSENH109,VM01B
CE04OSPS-PC01B-4D-PCO2WA105,VM01B
CE04OSPS-SC01B,VM01B
CE04OSPS-SF01B,VM01B
CE04OSPS-SF01B-2A-CTDPFA107,VM01B
