referenceDesignator,deployNum,deployYear,rawFile,rawSerialNumber,attemptedAt,filesTried
CE02SHBP-LJ01D-05-ADCPTB104,1.0,2014,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2015/02/ADCPTB104_10.33.14.5_2101_20150219T2000_UTC.dat,18493,2026-09-18,ADCPTB104_10.33.14.5_2101_20150219T2000_UTC.dat
CE02SHBP-LJ01D-05-ADCPTB104,2.0,2015,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2016/01/ADCPTB104_10.33.14.5_2101_20160126T0000_UTC.dat,19003,2026-09-18,ADCPTB104_10.33.14.5_2101_20160126T0000_UTC.dat
CE02SHBP-LJ01D-05-ADCPTB104,3.0,2016,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2017/02/ADCPTB104_10.33.14.5_2101_20170215T0000_UTC.dat,18493,2026-09-18,ADCPTB104_10.33.14.5_2101_20170215T0000_UTC.dat
CE02SHBP-LJ01D-05-ADCPTB104,4.0,2017,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2018/02/ADCPTB104_10.33.14.5_2101_20180203T0000_UTC.dat,19003,2026-09-18,ADCPTB104_10.33.14.5_2101_20180203T0000_UTC.dat
CE02SHBP-LJ01D-05-ADCPTB104,5.0,2018,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2018/12/ADCPTB104_10.33.14.5_2101_20181225T0000_UTC.dat,22115,2026-09-18,ADCPTB104_10.33.14.5_2101_20181225T0000_UTC.dat
CE02SHBP-LJ01D-05-ADCPTB104,6.0,2019,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2020/01/ADCPTB104_10.33.14.5_2101_20200118T0000_UTC.dat,18493,2026-09-18,ADCPTB104_10.33.14.5_2101_20200118T0000_UTC.dat
CE02SHBP-LJ01D-05-ADCPTB104,7.0,2020,none,-99999,2026-09-18,
CE02SHBP-LJ01D-05-ADCPTB104,8.0,2021,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2022/02/ADCPTB104_10.33.14.5_2101_20220220T0000_UTC.dat,18493,2026-09-18,ADCPTB104_10.33.14.5_2101_20220220T0000_UTC.dat
CE02SHBP-LJ01D-05-ADCPTB104,9.0,2022,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2023/02/ADCPTB104_10.33.14.5_2101_20230216T0000_UTC.dat,19003,2026-09-18,ADCPTB104_10.33.14.5_2101_20230216T0000_UTC.dat
CE02SHBP-LJ01D-05-ADCPTB104,10.0,2023,https://rawdata.oceanobservatories.org/files/CE02SHBP/LJ01D/ADCPTB104/2024/02/ADCPTB104_10.33.14.5_2101_20240218T0000_UTC.dat,18493,2026-09-18,ADCPTB104_10.33.14.5_2101_20240218T0000_UTC.dat
