referenceDesignator,deployYear,rawFile,rawSerialNumber
RS03INT2-MJ03D-11-CTDPFB307,2025,https://rawdata.oceanobservatories.org/files/RS03INT2/MJ03D/CTDPFB307/2025/08/CTDPFB307_10.31.9.11_2101_20250824T0056_UTC.dat,0325
RS03INT2-MJ03D-11-CTDPFB307,2024,https://rawdata.oceanobservatories.org/files/RS03INT2/MJ03D/CTDPFB307/2024/09/CTDPFB307_10.31.9.11_2101_20240901T0336_UTC.dat,0601
RS03ECAL-MJ03E-12-CTDPFB306,2025,https://rawdata.oceanobservatories.org/files/RS03ECAL/MJ03E/CTDPFB306/2025/08/CTDPFB306_10.31.10.12_2101_20250820T0000_UTC.dat,0326
RS03ECAL-MJ03E-12-CTDPFB306,2024,https://rawdata.oceanobservatories.org/files/RS03ECAL/MJ03E/CTDPFB306/2024/09/CTDPFB306_10.31.10.12_2101_20240902T0000_UTC.dat,0321
RS03ECAL-MJ03E-12-CTDPFB306,2023,https://rawdata.oceanobservatories.org/files/RS03ECAL/MJ03E/CTDPFB306/2023/09/CTDPFB306_10.31.10.12_2101_20230917T1547_UTC.dat,0326
RS03ECAL-MJ03E-12-CTDPFB306,2022,https://rawdata.oceanobservatories.org/files/RS03ECAL/MJ03E/CTDPFB306/2022/08/CTDPFB306_10.31.10.12_2101_20220816T1917_UTC.dat,0321
RS03ECAL-MJ03E-12-CTDPFB306,2021,https://rawdata.oceanobservatories.org/files/RS03ECAL/MJ03E/CTDPFB306/2021/08/CTDPFB306_10.31.10.12_2101_20210828T0000_UTC.dat,0326
RS03ECAL-MJ03E-12-CTDPFB306,2020,https://rawdata.oceanobservatories.org/files/RS03ECAL/MJ03E/CTDPFB306/2020/08/CTDPFB306_10.31.10.12_2101_20200820T1714_UTC.dat,0321
RS03CCAL-MJ03F-12-CTDPFB305,2025,https://rawdata.oceanobservatories.org/files/RS03CCAL/MJ03F/CTDPFB305/2025/08/CTDPFB305_10.31.6.12_2101_20250824T0000_UTC.dat,0327
RS03CCAL-MJ03F-12-CTDPFB305,2024,https://rawdata.oceanobservatories.org/files/RS03CCAL/MJ03F/CTDPFB305/2024/09/CTDPFB305_10.31.6.12_2101_20240901T1844_UTC.dat,0602
RS03CCAL-MJ03F-12-CTDPFB305,2023,https://rawdata.oceanobservatories.org/files/RS03CCAL/MJ03F/CTDPFB305/2023/09/CTDPFB305_10.31.6.12_2101_20230913T0000_UTC.dat,0327
RS03CCAL-MJ03F-12-CTDPFB305,2022,none,-99999
RS03CCAL-MJ03F-12-CTDPFB305,2022,none,-99999
RS03CCAL-MJ03F-12-CTDPFB305,2021,https://rawdata.oceanobservatories.org/files/RS03CCAL/MJ03F/CTDPFB305/2021/08/CTDPFB305_10.31.6.12_2101_20210828T1748_UTC.dat,0327
RS03CCAL-MJ03F-11-PADCPA301,2021,none,-99999
